H3 Encoding - Res=9,Citation,Arrest,Search Conducted,Fatal,Alcohol,Accident,Personal Injury,Property Damage,Stops - ASIAN,Stops - BLACK,Stops - HISPANIC,Stops - OTHER,Stops - WHITE,Search Conducted - ASIAN,Search Conducted - BLACK,Search Conducted - HISPANIC,Search Conducted - OTHER,Search Conducted - WHITE,Citation - ASIAN,Citation - BLACK,Citation - HISPANIC,Citation - OTHER,Citation - WHITE,Arrest - ASIAN,Arrest - BLACK,Arrest - HISPANIC,Arrest - OTHER,Arrest - WHITE,Stops,Longitude,Latitude,geometry,Stops - % Total - ASIAN,Stops - % Total - BLACK,Stops - % Total - HISPANIC,Stops - % Total - OTHER,Stops - % Total - WHITE,Arrest - % Total - ASIAN,Arrest - % Total - BLACK,Arrest - % Total - HISPANIC,Arrest - % Total - OTHER,Arrest - % Total - WHITE,Citation - % Total - ASIAN,Citation - % Total - BLACK,Citation - % Total - HISPANIC,Citation - % Total - OTHER,Citation - % Total - WHITE,Search Conducted - % Total - ASIAN,Search Conducted - % Total - BLACK,Search Conducted - % Total - HISPANIC,Search Conducted - % Total - OTHER,Search Conducted - % Total - WHITE,Citation per Fatal,Citation per Alcohol,Citation per Accident,Citation per Personal Injury,Citation per Property Damage,Arrest per Fatal,Arrest per Alcohol,Arrest per Accident,Arrest per Personal Injury,Arrest per Property Damage,Search Conducted per Fatal,Search Conducted per Alcohol,Search Conducted per Accident,Search Conducted per Personal Injury,Search Conducted per Property Damage,Stops per Fatal,Stops per Alcohol,Stops per Accident,Stops per Personal Injury,Stops per Property Damage,BLACK + HISPANIC Stops - % Total,BLACK + HISPANIC Arrest - % Total,BLACK + HISPANIC Citation - % Total,BLACK + HISPANIC Search Conducted - % Total
89f04280103ffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-76.9785331547106,39.3232667272771,"((39.33143813290762, -76.97852090083325), (39.32703353718219, -76.97689674905786), (39.318863090695515, -76.97690885136996), (39.31509516900689, -76.97854515295865), (39.31949892452357, -76.98016953306497), (39.32767144228168, -76.98015738324531), (39.33143813290762, -76.97852090083325))",0.0,0.3333333333333333,0.0,0.16666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,
89f042803abffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-76.96702428623564,39.38226715200968,"((39.390430162266334, -76.96701028371803), (39.38602258027357, -76.96538727535983), (39.37786052589376, -76.96540112624606), (39.37410398702099, -76.96703803346907), (39.378510734339265, -76.96866127013438), (39.38667485554758, -76.96864737126306), (39.390430162266334, -76.96701028371803))",0.0,0.0,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
89f04280807ffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-76.94278992874206,39.21848474800114,"((39.22663523005037, -76.94278125643777), (39.22225523195463, -76.94115531527302), (39.21410570643527, -76.94116383678963), (39.21033411835159, -76.94279834601556), (39.21471327379958, -76.94442451467653), (39.222864860320534, -76.94441594660915), (39.22663523005037, -76.94278125643777))",0.0,0.0,1.0,0.0,0.0,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,1.0,,,,,0.0,,,,,0.0,,,,,1.0,,,1.0,,1.0,
89f04280923ffff,114.0,0.0,1.0,0.0,0.0,8.0,0.0,6.0,22,134,45,25,98,0,0,0,0,1,5,53,17,6,33,0,0,0,0,0,325,-76.92656870835812,39.117751946777155,"((39.125893880878316, -76.92656332595115), (39.12153126395463, -76.92493559274502), (39.11339028656902, -76.92494082489844), (39.10960986946949, -76.92657383591975), (39.113971639057894, -76.92820179610086), (39.1221146734219, -76.92819651827975), (39.125893880878316, -76.92656332595115))",0.06769230769230769,0.4123076923076923,0.13846153846153847,0.07692307692307693,0.30153846153846153,,,,,,0.043859649122807015,0.4649122807017544,0.14912280701754385,0.05263157894736842,0.2894736842105263,0.0,0.0,0.0,0.0,1.0,,,14.25,,19.0,,,0.0,,0.0,,,0.125,,0.16666666666666666,,,40.625,,54.166666666666664,0.5507692307692308,,0.6140350877192983,0.0
89f04280927ffff,56.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,13,107,23,22,44,0,1,0,0,0,1,33,6,6,10,0,1,0,0,0,209,-76.92494580223445,39.10524916618736,"((39.11339028656902, -76.92494082489844), (39.109029692456886, -76.92331286793156), (39.100889528871, -76.92331769507575), (39.09710790313433, -76.92495052473977), (39.10146764928019, -76.92657870862286), (39.10960986946949, -76.92657383591975), (39.11339028656902, -76.92494082489844))",0.06220095693779904,0.5119617224880383,0.11004784688995216,0.10526315789473684,0.21052631578947367,0.0,1.0,0.0,0.0,0.0,0.017857142857142856,0.5892857142857143,0.10714285714285714,0.10714285714285714,0.17857142857142858,0.0,1.0,0.0,0.0,0.0,,,18.666666666666668,,56.0,,,0.3333333333333333,,1.0,,,0.3333333333333333,,1.0,,,69.66666666666667,,209.0,0.6220095693779905,1.0,0.6964285714285714,1.0
89f0428092bffff,33.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,8,20,8,4,34,0,0,0,0,0,4,7,3,2,17,0,0,0,0,0,74,-76.92493010578723,39.12967209801896,"((39.137812788437444, -76.92492436403832), (39.133449325200296, -76.92329685781397), (39.12530959094639, -76.92330244928749), (39.12153126395463, -76.92493559274502), (39.125893880878316, -76.92656332595115), (39.134035671447855, -76.926557688712), (39.137812788437444, -76.92492436403832))",0.10810810810810811,0.2702702702702703,0.10810810810810811,0.05405405405405406,0.4594594594594595,,,,,,0.12121212121212122,0.21212121212121213,0.09090909090909091,0.06060606060606061,0.5151515151515151,,,,,,,,16.5,,8.25,,,0.0,,0.0,,,0.0,,0.0,,,37.0,,18.5,0.3783783783783784,,0.30303030303030304,
89f0428092fffff,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,17,3,2,12,0,0,0,0,0,0,6,2,1,5,0,0,0,0,0,34,-76.92330778599775,39.11716971325706,"((39.12530959094639, -76.92330244928749), (39.12094814988972, -76.92167471924371), (39.11280922844517, -76.92167990574029), (39.109029692456886, -76.92331286793156), (39.11339028656902, -76.92494082489844), (39.12153126395463, -76.92493559274502), (39.12530959094639, -76.92330244928749))",0.0,0.5,0.08823529411764706,0.058823529411764705,0.35294117647058826,,,,,,0.0,0.42857142857142855,0.14285714285714285,0.07142857142857142,0.35714285714285715,,,,,,,,,14.0,,,,,0.0,,,,,0.0,,,,,34.0,,0.5882352941176471,,0.5714285714285714,
89f04280933ffff,208.0,0.0,1.0,0.0,0.0,4.0,2.0,4.0,25,166,53,30,107,0,1,0,0,0,15,85,29,16,61,0,0,0,0,0,381,-76.92982968274694,39.11833447529307,"((39.126478466843515, -76.92982425463238), (39.1221146734219, -76.92819651827975), (39.113971639057894, -76.92820179610086), (39.11019034044005, -76.92983485594722), (39.11455328613536, -76.93146281932671), (39.12269837851566, -76.931457495827), (39.126478466843515, -76.92982425463238))",0.06561679790026247,0.4356955380577428,0.13910761154855644,0.07874015748031496,0.28083989501312334,,,,,,0.07211538461538461,0.40865384615384615,0.13942307692307693,0.07692307692307693,0.2932692307692308,0.0,1.0,0.0,0.0,0.0,,,52.0,104.0,52.0,,,0.0,0.0,0.0,,,0.25,0.5,0.25,,,95.25,190.5,95.25,0.5748031496062993,,0.5480769230769231,1.0
89f04280937ffff,89.0,4.0,7.0,0.0,0.0,10.0,0.0,9.0,17,111,28,21,61,0,6,0,0,1,9,41,11,7,21,0,3,0,0,1,238,-76.92820681903564,39.10582846160196,"((39.113971639057894, -76.92820179610086), (39.10960986946949, -76.92657383591975), (39.10146764928019, -76.92657870862286), (39.097685141379, -76.9282115870708), (39.1020460626097, -76.92983977422001), (39.11019034044005, -76.92983485594722), (39.113971639057894, -76.92820179610086))",0.07142857142857142,0.46638655462184875,0.11764705882352941,0.08823529411764706,0.25630252100840334,0.0,0.75,0.0,0.0,0.25,0.10112359550561797,0.4606741573033708,0.12359550561797752,0.07865168539325842,0.23595505617977527,0.0,0.8571428571428571,0.0,0.0,0.14285714285714285,,,8.9,,9.88888888888889,,,0.4,,0.4444444444444444,,,0.7,,0.7777777777777778,,,23.8,,26.444444444444443,0.5840336134453782,0.75,0.5842696629213483,0.8571428571428571
89f042809a3ffff,1238.0,4.0,12.0,0.0,0.0,31.0,12.0,21.0,159,780,222,118,647,0,7,2,0,3,103,457,150,82,441,0,2,2,0,0,1928,-76.93472900871978,39.10698793330544,"((39.11513522802516, -76.93472389455503), (39.11077110559188, -76.93309592799305), (39.10262476908176, -76.93310089184635), (39.09884049562754, -76.93473386784704), (39.10320376891929, -76.936362061481), (39.111352165148396, -76.93635705203636), (39.11513522802516, -76.93472389455503))",0.08246887966804979,0.4045643153526971,0.11514522821576763,0.061203319502074686,0.3355809128630705,0.0,0.5,0.5,0.0,0.0,0.08319870759289176,0.3691437802907916,0.12116316639741519,0.06623586429725363,0.3562197092084006,0.0,0.5833333333333334,0.16666666666666666,0.0,0.25,,,39.935483870967744,103.16666666666667,58.95238095238095,,,0.12903225806451613,0.3333333333333333,0.19047619047619047,,,0.3870967741935484,1.0,0.5714285714285714,,,62.193548387096776,160.66666666666666,91.80952380952381,0.5197095435684648,1.0,0.4903069466882068,0.75
