long,lat,Total Stops,Total Citations,Total Accidents,Total Injuries,Total Fatalities,geometry,Stops per Accident,Stops per Injury,Stops per Fatality
-77.5475,39.2975,2,2,0,0,0,POINT (-77.5475 39.2975),0.0,0.0,0.0
-77.535,39.36,1,1,0,0,0,POINT (-77.535 39.36),0.0,0.0,0.0
-77.5325,39.4475,1,0,0,0,0,POINT (-77.5325 39.4475),0.0,0.0,0.0
-77.53,39.4325,13,0,0,0,0,POINT (-77.53 39.4325),0.0,0.0,0.0
-77.53,39.44,2,0,0,0,0,POINT (-77.53 39.44),0.0,0.0,0.0
-77.525,39.43,2,0,0,0,0,POINT (-77.52500000000001 39.43),0.0,0.0,0.0
-77.52,39.155,5,25,0,0,0,POINT (-77.52 39.155),0.0,0.0,0.0
-77.5175,39.155,2,0,0,0,0,POINT (-77.5175 39.155),0.0,0.0,0.0
-77.515,39.16,1,0,0,0,0,POINT (-77.515 39.16),0.0,0.0,0.0
-77.51,39.1625,2,0,0,0,0,POINT (-77.51000000000001 39.1625),0.0,0.0,0.0
-77.4875,39.12,1,1,0,0,0,POINT (-77.4875 39.12),0.0,0.0,0.0
-77.4875,39.1275,2,2,0,0,0,POINT (-77.4875 39.1275),0.0,0.0,0.0
-77.4875,39.13,10,18,0,0,0,POINT (-77.4875 39.13),0.0,0.0,0.0
-77.485,39.1225,1,1,0,0,0,POINT (-77.485 39.1225),0.0,0.0,0.0
-77.485,39.1275,7,49,0,0,0,POINT (-77.485 39.1275),0.0,0.0,0.0
-77.4825,39.1375,1,1,0,0,0,POINT (-77.4825 39.1375),0.0,0.0,0.0
-77.48,39.16,1,0,0,0,0,POINT (-77.48 39.16),0.0,0.0,0.0
-77.48,39.165,9,20,0,0,0,POINT (-77.48 39.165),0.0,0.0,0.0
-77.4775,39.165,3,0,3,0,0,POINT (-77.47750000000001 39.165),1.0,0.0,0.0
-77.475,39.165,2,1,0,0,0,POINT (-77.47499999999999 39.165),0.0,0.0,0.0
-77.475,39.17,4,4,0,0,0,POINT (-77.47499999999999 39.17),0.0,0.0,0.0
-77.4675,39.1625,2,0,0,0,0,POINT (-77.4675 39.1625),0.0,0.0,0.0
-77.4675,39.1725,6,5,0,0,0,POINT (-77.4675 39.1725),0.0,0.0,0.0
-77.465,39.1625,2,4,0,0,0,POINT (-77.465 39.1625),0.0,0.0,0.0
-77.465,39.1725,3,1,0,0,0,POINT (-77.465 39.1725),0.0,0.0,0.0
-77.465,39.2725,2,0,0,0,0,POINT (-77.465 39.2725),0.0,0.0,0.0
-77.465,39.2775,1,1,0,1,0,POINT (-77.465 39.2775),0.0,1.0,0.0
-77.465,39.405,2,1,0,0,0,POINT (-77.465 39.405),0.0,0.0,0.0
-77.465,39.4075,5,3,0,0,0,POINT (-77.465 39.4075),0.0,0.0,0.0
-77.4625,39.4075,6,0,0,0,0,POINT (-77.46250000000001 39.4075),0.0,0.0,0.0
