long,lat,Total Observations,Total Citations,Total Accidents,Total Injuries,Total Fatalities,Total Stops,geometry,Observations per Accident,Accidents per Observation,Observations per Injury,Injuries per Observation,Observations per Fatality,Fatalities per Observation,Stops per Accident,Accidents per Stop,Stops per Injury,Injuries per Stop,Normalized Injuries per Observation,Normalized Stops per Injury,Normalized Observations per Accident,Normalized Injuries per Stop,Normalized Accidents per Stop,Normalized Total Observations,Normalized Total Stops,Normalized Fatalities per Observation,Normalized Total Citations,Normalized Total Fatalities,Normalized Stops per Accident,Normalized Total Accidents,Normalized Total Injuries,Normalized Observations per Injury,Normalized Accidents per Observation,Normalized Observations per Fatality
-77.43,39.215,123,32,0,0,0,98,POINT (-77.43000000000001 39.215),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31863035655844646,-0.3842654571482779,-0.5350613982929083,-0.2553805235160714,-0.43499043399754417,-0.36935838971870205,-0.3268033005734582,-0.0787706368245004,-0.3763956379487408,-0.16676678415336357,-0.4874693901548399,-0.2714853549229109,-0.23524476138437428,-0.4091815844525363,-0.5995406826383731,-0.13727903545571038
-77.425,39.22,30,26,4,0,0,27,POINT (-77.425 39.22),7.5,0.13333333333333333,0.0,0.0,0.0,0.0,6.75,0.14814814814814814,0.0,0.0,-0.31863035655844646,-0.3842654571482779,-0.4623196551798974,-0.2553805235160714,0.649625182501801,-0.52281782756498,-0.5394713923761886,-0.0787706368245004,-0.39210511981888796,-0.16676678415336357,-0.39257191457700813,-0.14540760058427438,-0.23524476138437428,-0.4091815844525363,1.9690819259983394,-0.13727903545571038
-77.42,39.145,79,25,0,0,0,50,POINT (-77.42 39.145),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31863035655844646,-0.3842654571482779,-0.5350613982929083,-0.2553805235160714,-0.43499043399754417,-0.4419628549362959,-0.4705789119330505,-0.0787706368245004,-0.3947233667972458,-0.16676678415336357,-0.4874693901548399,-0.2714853549229109,-0.23524476138437428,-0.4091815844525363,-0.5995406826383731,-0.13727903545571038
-77.42,39.225,127,42,0,0,1,107,POINT (-77.42 39.225),0.0,0.0,0.0,0.0,127.0,0.007874015748031496,0.0,0.0,0.0,0.0,-0.31863035655844646,-0.3842654571482779,-0.5350613982929083,-0.2553805235160714,-0.43499043399754417,-0.3627579837898299,-0.2998453734435346,2.0315937176795074,-0.35021316816516224,2.0212751894143786,-0.4874693901548399,-0.2714853549229109,-0.23524476138437428,-0.4091815844525363,-0.5995406826383731,0.5187607075301095
-77.415,39.145,89,27,1,1,0,55,POINT (-77.41500000000001 39.145),89.0,0.011235955056179775,89.0,0.011235955056179775,0.0,0.0,55.0,0.01818181818181818,55.0,0.01818181818181818,0.16302782263956558,0.053128829181771337,0.32814061998148686,0.0679900474767929,-0.30187851742717,-0.4254618401141155,-0.45560228574975964,-0.0787706368245004,-0.3894868728405301,-0.16676678415336357,0.28576929973860427,-0.2399659163382518,-0.1229706533070222,0.04564538137333302,-0.38308372123640294,-0.13727903545571038
-77.415,39.15,56,25,0,0,0,28,POINT (-77.41500000000001 39.15),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31863035655844646,-0.3842654571482779,-0.5350613982929083,-0.2553805235160714,-0.43499043399754417,-0.47991518902731084,-0.5364760671395303,-0.0787706368245004,-0.3947233667972458,-0.16676678415336357,-0.4874693901548399,-0.2714853549229109,-0.23524476138437428,-0.4091815844525363,-0.5995406826383731,-0.13727903545571038
-77.41,39.14,57,36,11,1,0,21,POINT (-77.41 39.14),5.181818181818182,0.19298245614035087,57.0,0.017543859649122806,0.0,0.0,1.9090909090909092,0.5238095238095238,21.0,0.047619047619047616,0.4334324144700284,-0.21726036600407728,-0.48480346668755536,0.5915424005128588,3.3999004957679984,-0.47826508754509284,-0.5574433437961376,-0.0787706368245004,-0.3659226500353094,-0.16676678415336357,-0.4606297000924229,0.07522846950833958,-0.1229706533070222,-0.1178879097101256,3.1182025667042366,-0.13727903545571038
-77.41,39.145,128,47,30,28,0,67,POINT (-77.41 39.145),4.266666666666667,0.234375,4.571428571428571,0.21875,0.0,0.0,2.2333333333333334,0.44776119402985076,2.392857142857143,0.417910447761194,9.058652319702851,-0.3652359654702822,-0.4936794288775066,7.177316182887077,2.8431388546758503,-0.3611078823076118,-0.41965838290986157,-0.0787706368245004,-0.3371219332733729,-0.16676678415336357,-0.4560712130500758,0.6740978026168633,2.9084302647814844,-0.3858196857263279,3.9156162466058477,-0.13727903545571038
-77.405,39.14,45,14,0,0,0,29,POINT (-77.405 39.14),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31863035655844646,-0.3842654571482779,-0.5350613982929083,-0.2553805235160714,-0.43499043399754417,-0.4980663053317093,-0.5334807419028722,-0.0787706368245004,-0.4235240835591822,-0.16676678415336357,-0.4874693901548399,-0.2714853549229109,-0.23524476138437428,-0.4091815844525363,-0.5995406826383731,-0.13727903545571038
-77.405,39.145,44,20,5,0,0,19,POINT (-77.405 39.145),8.8,0.11363636363636363,0.0,0.0,0.0,0.0,3.8,0.2631578947368421,0.0,0.0,-0.31863035655844646,-0.3842654571482779,-0.44971108637364227,-0.2553805235160714,1.4916294110999768,-0.49971640681392737,-0.563433994269454,-0.0787706368245004,-0.4078146016890351,-0.16676678415336357,-0.4340456261258383,-0.11388816199961524,-0.23524476138437428,-0.4091815844525363,1.5896263133588246,-0.13727903545571038
-77.405,39.175,121,17,0,0,0,77,POINT (-77.405 39.175),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31863035655844646,-0.3842654571482779,-0.5350613982929083,-0.2553805235160714,-0.43499043399754417,-0.3726585926831381,-0.3897051305432798,-0.0787706368245004,-0.41566934262410865,-0.16676678415336357,-0.4874693901548399,-0.2714853549229109,-0.23524476138437428,-0.4091815844525363,-0.5995406826383731,-0.13727903545571038
-77.4,39.135,53,29,0,0,0,31,POINT (-77.40000000000001 39.135),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31863035655844646,-0.3842654571482779,-0.5350613982929083,-0.2553805235160714,-0.43499043399754417,-0.484865493473965,-0.5274900914295558,-0.0787706368245004,-0.38425037888381436,-0.16676678415336357,-0.4874693901548399,-0.2714853549229109,-0.23524476138437428,-0.4091815844525363,-0.5995406826383731,-0.13727903545571038
