Race,Speed Over Posted Limit
WHITE,28.0
OTHER,35.0
HISPANIC,25.0
OTHER,28.0
HISPANIC,9.0
WHITE,26.0
ASIAN,28.0
ASIAN,25.0
WHITE,18.0
WHITE,25.0
BLACK,31.0
OTHER,9.0
OTHER,9.0
WHITE,7.0
ASIAN,20.0
BLACK,9.0
BLACK,25.0
BLACK,18.0
OTHER,25.0
WHITE,19.0
WHITE,19.0
WHITE,13.0
WHITE,15.0
WHITE,14.0
WHITE,14.0
WHITE,12.0
WHITE,13.0
ASIAN,25.0
BLACK,5.0
BLACK,23.0
ASIAN,15.0
BLACK,15.0
WHITE,9.0
WHITE,20.0
BLACK,20.0
WHITE,15.0
WHITE,15.0
ASIAN,19.0
BLACK,1.0
ASIAN,19.0
BLACK,25.0
WHITE,21.0
WHITE,10.0
WHITE,10.0
BLACK,30.0
WHITE,20.0
OTHER,20.0
WHITE,9.0
BLACK,9.0
BLACK,9.0
WHITE,20.0
BLACK,27.0
OTHER,22.0
WHITE,9.0
ASIAN,9.0
WHITE,18.0
ASIAN,9.0
OTHER,9.0
HISPANIC,12.0
BLACK,20.0
ASIAN,22.0
ASIAN,16.0
BLACK,19.0
BLACK,15.0
BLACK,25.0
WHITE,25.0
BLACK,9.0
BLACK,35.0
BLACK,18.0
BLACK,28.0
HISPANIC,10.0
HISPANIC,20.0
BLACK,9.0
WHITE,9.0
HISPANIC,22.0
BLACK,40.0
BLACK,15.0
WHITE,17.0
HISPANIC,15.0
HISPANIC,20.0
BLACK,15.0
ASIAN,15.0
BLACK,16.0
WHITE,9.0
BLACK,15.0
WHITE,27.0
WHITE,16.0
BLACK,51.0
WHITE,11.0
BLACK,5.0
BLACK,50.0
BLACK,25.0
HISPANIC,9.0
BLACK,10.0
HISPANIC,9.0
WHITE,19.0
BLACK,21.0
WHITE,9.0
BLACK,29.0
BLACK,9.0
BLACK,42.0
ASIAN,25.0
BLACK,20.0
HISPANIC,8.0
BLACK,10.0
WHITE,9.0
BLACK,20.0
OTHER,38.0
WHITE,9.0
BLACK,9.0
OTHER,34.0
BLACK,18.0
WHITE,25.0
BLACK,17.0
BLACK,9.0
BLACK,21.0
BLACK,9.0
BLACK,17.0
WHITE,54.0
WHITE,23.0
HISPANIC,19.0
BLACK,47.0
BLACK,10.0
ASIAN,21.0
HISPANIC,15.0
BLACK,20.0
HISPANIC,16.0
WHITE,16.0
OTHER,60.0
HISPANIC,9.0
HISPANIC,21.0
HISPANIC,25.0
OTHER,9.0
OTHER,9.0
OTHER,19.0
WHITE,9.0
WHITE,15.0
WHITE,9.0
HISPANIC,19.0
WHITE,16.0
WHITE,9.0
WHITE,9.0
BLACK,19.0
HISPANIC,9.0
WHITE,15.0
BLACK,9.0
BLACK,30.0
BLACK,9.0
WHITE,9.0
BLACK,9.0
HISPANIC,9.0
BLACK,9.0
BLACK,19.0
WHITE,9.0
WHITE,30.0
WHITE,16.0
WHITE,24.0
BLACK,17.0
OTHER,17.0
BLACK,20.0
OTHER,9.0
WHITE,17.0
WHITE,9.0
HISPANIC,29.0
WHITE,33.0
WHITE,9.0
WHITE,9.0
WHITE,16.0
HISPANIC,9.0
BLACK,13.0
WHITE,35.0
WHITE,19.0
WHITE,17.0
BLACK,16.0
WHITE,22.0
WHITE,18.0
WHITE,20.0
ASIAN,26.0
HISPANIC,21.0
WHITE,10.0
BLACK,45.0
WHITE,19.0
BLACK,30.0
WHITE,9.0
