long,lat,Total Stops,Total Citations,Total Accidents,Total Injuries,Total Fatalities,geometry,Stops per Accident,Accidents per Stops,Stops per Injury,Stops per Fatality,Normalized Total Accidents,Normalized Accidents per Stops,Normalized Total Citations,Normalized Total Fatalities,Normalized Total Injuries,Normalized Stops per Accident,Normalized Stops per Injury,Normalized Total Stops,Normalized Stops per Fatality,Accidents per Stop,Injuries per Stop,Fatalities per Stop,Normalized Normalized Total Citations,Normalized Injuries per Stop,Normalized Normalized Total Injuries,Normalized Fatalities per Stop,Normalized Normalized Total Fatalities,Normalized Normalized Stops per Fatality,Normalized Normalized Stops per Accident,Normalized Normalized Total Stops,Normalized Normalized Accidents per Stops,Normalized Normalized Total Accidents,Normalized Accidents per Stop,Normalized Normalized Stops per Injury
-77.455,39.425,80,36,0,0,0,POINT (-77.455 39.425),0.0,0.0,0.0,0.0,-0.2325761014738566,-0.6578697574480874,-0.3004487207055047,-0.2042646668926003,-0.242591277733204,-0.5410493854954572,-0.43758938610292986,-0.4298249860830171,-0.17042508492675504,0.0,0.0,0.0,-0.30044872070550477,-0.4210396802288556,-0.24259127773320402,-0.07103781681355638,-0.2042646668926003,-0.170425084926755,-0.5410493854954572,-0.4298249860830171,-0.6578697574480875,-0.2325761014738566,-0.6578697574480874,-0.4375893861029298
-77.445,39.395,33,14,5,0,0,POINT (-77.44499999999999 39.395),6.6,0.15151515151515152,0.0,0.0,-0.17988271165160954,1.7077513314192323,-0.34139065033288807,-0.2042646668926003,-0.242591277733204,-0.4715532967352766,-0.43758938610292986,-0.4593825268736949,-0.17042508492675504,0.15151515151515152,0.0,0.0,-0.3413906503328881,-0.4210396802288556,-0.24259127773320402,-0.07103781681355638,-0.2042646668926003,-0.170425084926755,-0.4715532967352766,-0.4593825268736949,1.7077513314192325,-0.17988271165160954,1.7077513314192323,-0.4375893861029298
-77.435,39.205,35,12,5,4,0,POINT (-77.435 39.205),7.0,0.14285714285714285,8.75,0.0,-0.17988271165160954,1.5725729834839568,-0.3451126439353775,-0.2042646668926003,-0.12565889545769912,-0.46734141256799294,-0.4014552945572573,-0.45812475918047457,-0.17042508492675504,0.14285714285714285,0.11428571428571428,0.0,-0.34511264393537755,2.510106129963151,-0.12565889545769915,-0.07103781681355638,-0.2042646668926003,-0.170425084926755,-0.46734141256799294,-0.45812475918047457,1.572572983483957,-0.17988271165160954,1.5725729834839568,-0.40145529455725726
-77.43,39.215,429,5,0,0,0,POINT (-77.43000000000001 39.215),0.0,0.0,0.0,0.0,-0.2325761014738566,-0.6578697574480874,-0.35813962154409035,-0.2042646668926003,-0.242591277733204,-0.5410493854954572,-0.43758938610292986,-0.21034452361606912,-0.17042508492675504,0.0,0.0,0.0,-0.3581396215440904,-0.4210396802288556,-0.24259127773320402,-0.07103781681355638,-0.2042646668926003,-0.170425084926755,-0.5410493854954572,-0.21034452361606915,-0.6578697574480875,-0.2325761014738566,-0.6578697574480874,-0.4375893861029298
-77.43,39.425,40,13,2,0,0,POINT (-77.43000000000001 39.425),20.0,0.05,0.0,0.0,-0.2114987455449578,0.12278520187812819,-0.34325164713413275,-0.2042646668926003,-0.242591277733204,-0.33045517713127354,-0.43758938610292986,-0.45498033994742376,-0.17042508492675504,0.05,0.0,0.0,-0.3432516471341328,-0.4210396802288556,-0.24259127773320402,-0.07103781681355638,-0.2042646668926003,-0.170425084926755,-0.33045517713127354,-0.45498033994742376,0.12278520187812823,-0.2114987455449578,0.12278520187812819,-0.4375893861029298
-77.425,39.22,95,39,4,0,0,POINT (-77.425 39.22),23.75,0.042105263157894736,0.0,0.0,-0.19042138961605895,-0.00047610748916905024,-0.29486573030177066,-0.2042646668926003,-0.242591277733204,-0.2909687630629891,-0.43758938610292986,-0.4203917283838646,-0.17042508492675504,0.042105263157894736,0.0,0.0,-0.2948657303017707,-0.4210396802288556,-0.24259127773320402,-0.07103781681355638,-0.2042646668926003,-0.170425084926755,-0.2909687630629891,-0.4203917283838646,-0.0004761074891690292,-0.19042138961605895,-0.00047610748916905024,-0.4375893861029298
-77.42,39.14,30,0,0,0,0,POINT (-77.42 39.14),0.0,0.0,0.0,0.0,-0.2325761014738566,-0.6578697574480874,-0.36744460555031383,-0.2042646668926003,-0.242591277733204,-0.5410493854954572,-0.43758938610292986,-0.46126917841352544,-0.17042508492675504,0.0,0.0,0.0,-0.3674446055503139,-0.4210396802288556,-0.24259127773320402,-0.07103781681355638,-0.2042646668926003,-0.170425084926755,-0.5410493854954572,-0.46126917841352544,-0.6578697574480875,-0.2325761014738566,-0.6578697574480874,-0.4375893861029298
-77.42,39.145,229,59,2,2,0,POINT (-77.42 39.145),114.5,0.008733624454148471,114.5,0.0,-0.2114987455449578,-0.521510812587613,-0.25764579427687667,-0.2042646668926003,-0.18412508659545154,0.6646024573894945,0.03525101183758485,-0.33612129293810233,-0.17042508492675504,0.008733624454148471,0.008733624454148471,0.0,-0.2576457942768767,-0.19704382137138785,-0.18412508659545157,-0.07103781681355638,-0.2042646668926003,-0.170425084926755,0.6646024573894945,-0.33612129293810233,-0.5215108125876131,-0.2114987455449578,-0.521510812587613,0.035251011837584875
-77.42,39.185,31,13,7,7,0,POINT (-77.42 39.185),4.428571428571429,0.22580645161290322,4.428571428571429,0.0,-0.1588053557227107,2.867668768541273,-0.34325164713413275,-0.2042646668926003,-0.03795960875107045,-0.4944178107862451,-0.4193011111981813,-0.46064029456691524,-0.17042508492675504,0.22580645161290322,0.22580645161290322,0.0,-0.3432516471341328,5.370337122166641,-0.037959608751070455,-0.07103781681355638,-0.2042646668926003,-0.170425084926755,-0.4944178107862451,-0.46064029456691524,2.8676687685412734,-0.1588053557227107,2.867668768541273,-0.41930111119818125
-77.42,39.225,412,1,2,0,1,POINT (-77.42 39.225),206.0,0.0048543689320388345,0.0,412.0,-0.2114987455449578,-0.582078013824183,-0.36558360874906914,1.3127008740009753,-0.242591277733204,1.6280709606556352,-0.43758938610292986,-0.22103554900844194,0.44099526812098044,0.0048543689320388345,0.0,0.0024271844660194173,-0.3655836087490692,-0.4210396802288556,-0.24259127773320402,0.8247391654134772,1.3127008740009756,0.4409952681209805,1.6280709606556352,-0.22103554900844197,-0.5820780138241831,-0.2114987455449578,-0.582078013824183,-0.4375893861029298
